chartName,category,img,avail,description_en,description_it
bar-diverging,Deviazione,bar-diverging.svg,TRUE,A simple standard bar chart that can handle both negative and positive magnitude values,Un grafico a barre standard semplice in grado di dare risalto al contrasto tra valori negativi e positivi
bar-diverging-stacked,Deviazione,bar-diverging-stacked.svg,TRUE,"Perfect for presenting survey results which involve sentiment (eg disagree, neutral, agreed","Perfetto per la presentazione risultati del sondaggio che coinvolgono il sentimento (ad esempio non essere d'accordo, neutrale, concordato"
spine-chart,Deviazione,spine.svg,TRUE,Splits a single value into 2 contrasting components (eg Male/Female),Divide un singolo valore in 2 componenti contrastanti (per esempio maschio / femmina)
line-surplus-deficit-filled,Deviazione,line-surplur-defecit-fill.svg,FALSE,The shaded area of these charts allows a balance to be shown either against a baseline or between two serie,L'area ombreggiata di questi grafici permette un equilibrio di essere visualizzato sia contro una base o tra due serie
scatterplot,Correlazione,scatterplot.svg,TRUE,"The standard way to show the relationship between two variables, each of which has its own axis","Il metodo standard per mostrare la relazione tra due variabili, ciascuno dei quali ha il proprio asse"
line-column,Correlazione,line-column.svg,TRUE,A good way of showing the relationship between an amount (columns) and a rate (line),Un buon modo di mostrare la relazione tra una quantità (colonne) e un'aliquota (line)
scatterplot-connected,Correlazione,scatterplot-connected.svg,TRUE,Usually used to show how the relationship between 2 variables has changed over time,Di solito utilizzato per mostrare come il rapporto tra 2 variabili è cambiato nel tempo
Bubble,Correlazione,bubble.svg,TRUE,"Like a scatterplot, but adds additional detail by sizing the circles according to a third variable","Come un grafico a dispersione, ma aggiunge ulteriori dettagli dimensionando i cerchi secondo una terza variabile"
XY-heatmap,Correlazione,XY-heatmap.svg,TRUE,"A good way of showing the patterns between 2 categories of data, less good at showing fine differences in amounts","Un buon modo di mostrare i modelli tra le 2 categorie di dati, meno bravi a mostrare le differenze sottili in quantità"
line,Variazione,line.svg,TRUE,"The standard way to show a changing time series. If data are irregular, consider markers to represent data points","Il metodo standard per mostrare una serie temporale che cambia. Se i dati sono irregolari, prendere in considerazione gli indicatori per rappresentare i punti di dati"
column-timeline,Variazione,column-timeline.svg,TRUE,Columns work well for showing change over time - but usually best with only one series of data at a time,Colonne funzionano bene per mostrare il cambiamento nel corso del tempo - ma di solito meglio con una sola serie di dati alla volta
column-line-timeline,Variazione,column-line-timeline.svg,TRUE,A good way of showing the relationship over time between an amount (columns) and a rate (line),Un buon modo di mostrare la relazione nel tempo tra un importo (colonne) e un'aliquota (line)
stock-price,Variazione,stock-price.svg,FALSE,"Usually focused on day-to-day activity, these charts show opening/closing and hi/low points of each day","Di solito incentrata sull'attività giorno per giorno, questi grafici mostrano apertura / chiusura e hi / punti bassi di ogni giorno"
slope,Variazione,slope-timeline.svg,TRUE,Good for showing changing data as long as the data can be simplified into 2 or 3 points without missing a key part of story,Buona per mostrare i dati che cambiano fino a quando i dati possono essere semplificate in 2 o 3 punti senza perdere una parte fondamentale della storia
area,Variazione,area.svg,TRUE,"Use with care. These are good at showing changes to total, but seeing change in components can be very difficult.","Usare con cura. Questi sono buoni a mostrare modifiche al totale, ma vedendo il cambiamento nei componenti può essere molto difficile."
fan,Variazione,fan.svg,FALSE,Use to show the uncertainty in future projections - usually this grows the further forward to projection,Utilizzare per mostrare l'incertezza nelle proiezioni future - di solito questo si sviluppa il più avanti alla proiezione
scatterplot-line-timeline,Variazione,scatterplot-line-timeline.svg,FALSE,A good way of showing changing data for two variables whenever there is a relatively clear pattern of progression. Connected scatterplot,Un buon modo di mostrare i dati mutevoli per due variabili ogni volta che c'è un relativamente chiaro modello di progressione. dispersione Connected
calendar-heatmap,Variazione,calendar-heatmap.svg,TRUE,"A great way of showing temporal patterns (daily, weekly, monthly), at the expense of showing precision in quantity","Un ottimo modo di mostrare schemi temporali (giornaliera, settimanale, mensile), a scapito di che mostra la precisione in quantità"
priestley timeline,Variazione,priestley-timeline.svg,TRUE,Great when date and duration are key elements of the story in the data,Grande data e la durata in cui sono gli elementi chiave della storia nei dati
