name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8683193921,7.2351980334,10.0261792105,10.6347325993,27.8495872822,27.4080189409,22.8398182751,22.1019392034,20.7971968709,20.0414944475,19.4368629808,19.3110671613,19.6213091651,19.6523678445,25.5490847853,25.3813968008,24.9763032676,24.9085521094,24.5117838298,24.9645309954,24.7662150904,25.613208852,24.7474470415,24.8676332883,24.1655765278,23.8949859387,12.6908078809,8.4934439416,,,
Afghanistan,AFG,0.046059897,0.0536043035,0.073764791,0.0742326846,0.0862924518,0.1014673971,0.1076369555,0.1237342892,0.1154977403,0.0868234604,0.1502906268,0.1660420439,0.1307638497,0.1362797853,0.1556494435,0.1689286486,0.1547872055,0.1829636156,0.163159571,0.1683766705,0.1328586083,0.1519728812,0.1648038828,0.2036355817,0.2349877128,0.2978277271,0.2708911209,0.2716116591,0.2484725612,0.2356946134,0.2134498054,0.1876727237,0.0996664743,0.089154036,0.0800391697,0.0726986181,0.0660446985,0.0596483822,0.05520717,0.0423325972,0.03850634,0.0304323147,0.0402070107,0.0445162208,0.0393778277,0.0529482149,0.0637284719,0.0854175064,0.1545044776,0.2419845702,0.2940916185,0.4123872351,0.6663372312,0.6702637439,,,
Angola,AGO,0.0974716038,0.079038085,0.2012890763,0.1925347346,0.2010033609,0.1915284109,0.2464127853,0.1549115783,0.2563159979,0.4195505637,0.5286979879,0.4923022334,0.635214721,0.6706243233,0.6520233631,0.5746931427,0.4158503034,0.4347550384,0.6461792039,0.636944237,0.5987173429,0.571201904,0.4852515446,0.5150715467,0.4873956939,0.443121443,0.4267687217,0.5184278001,0.4455573439,0.4235242771,0.4202842539,0.4054501051,0.4006786525,0.4308892582,0.2810925794,0.769173426,0.7123063414,0.4892093774,0.4713739102,0.5740835947,0.5803526614,0.5730474927,0.7207688494,0.4979750726,0.9961654782,0.9797400256,1.0988838982,1.1978439816,1.1815267594,1.2324945153,1.2434055849,1.2527892549,1.3308430178,1.2486932243,,,
Albania,ALB,1.2581949279,1.3741860465,1.4399559638,1.1816811442,1.1117419597,1.1660990427,1.3330554646,1.3637463001,1.519551277,1.5589675721,1.7532399054,1.9894979233,2.515914398,2.3038974169,1.8490066907,1.910633637,2.0135845625,2.2758763914,2.5306250404,2.8982085176,1.9350583103,2.6930239144,2.6248567851,2.683239919,2.6942913736,2.658015382,2.6653562206,2.4140608152,2.3315985305,2.7832430746,1.6156239598,1.3122126001,0.7747249109,0.723790292,0.6002037078,0.654537133,0.6366253129,0.4903650595,0.5602714374,0.9601644119,0.9781746809,1.0533041759,1.2295407095,1.412697196,1.376212735,1.412498211,1.3025763672,1.3223348553,1.4843111389,1.4956001993,1.5785735839,1.8037147248,1.6246356969,1.6630804824,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3748942835,6.6092604102,7.1257014939,7.5464438278,7.9754544042,8.0192842942,7.7869500007,7.5906151408,7.3157607062,7.4067205288,7.2998719363,6.7462187157,6.519465912,6.4278866219,6.1216523407,6.1225947021,5.8671299447,5.9610826024,6.0823142051,,,
Arab World,ARB,0.6439991532,0.6854810034,0.7612211013,0.8753627529,0.99957904,1.1662670452,1.2732638601,1.3320458922,1.5456869101,1.7907758075,1.8021133373,1.9944467157,2.1108881808,2.3979545514,2.2745361334,2.1853159463,2.5699476899,2.6328963358,2.7445630772,2.844024763,3.0706876235,2.9084585864,2.7024180411,2.7947028222,2.957742566,3.0370206046,3.2571051697,3.1703486564,3.2660619266,3.2276815395,3.1444482259,3.2216818381,3.4163468442,3.654568047,3.6725303905,3.4191230204,3.3149271675,3.12752267,3.3295375301,3.3096329083,3.6847384229,3.5906445511,3.5911819809,3.7829323709,4.0545016089,4.1678949257,4.2667788345,4.1001378193,4.3886209469,4.5478708512,4.6279880866,4.529866424,4.8071377141,4.6363615314,,,
United Arab Emirates,ARE,0.1187576916,0.1088367399,0.1630183512,0.1752225921,0.1323549582,0.1463268645,0.1599503991,5.3836848071,6.7857735515,100.6976695123,64.7450137793,75.9815320938,70.4836278399,77.1209872751,66.4606991624,56.0511379626,61.2902079472,51.8446432844,52.5828993901,38.4518097979,35.4041197869,32.8816281559,30.9964608317,28.2049909821,35.1882124692,35.8909695684,32.0839895994,30.5583724927,29.2102299183,31.0288261734,27.9592452104,28.9391353211,27.8613684495,29.8904510047,31.4043975873,28.8469907956,15.9700815241,15.424431391,28.7143215022,26.2284277091,35.6782592296,30.4911534225,24.1512489051,28.5525530662,27.7012080194,25.3623726461,23.6310894325,22.4398012133,22.8239471921,21.9085560837,19.4436902679,18.4012260629,19.3648945733,18.7782701882,,,
Argentina,ARG,2.3674730316,2.4426158984,2.5223921045,2.3163563323,2.5383793033,2.6417143442,2.7926537993,2.8581622969,2.9698545798,3.2758509949,3.4511597978,3.6500786184,3.6378585131,3.7307911178,3.7266989662,3.6418224976,3.7687740736,3.7498713938,3.7627503685,3.9987331194,3.8688530674,3.5749678629,3.5670867894,3.5720420939,3.5601425345,3.3103270704,3.3772449996,3.6691687251,3.8204455678,3.6292019037,3.4407109082,3.5253838971,3.6085820266,3.4771599661,3.5693655745,3.6566455818,3.8114572852,3.8512026954,3.8578709157,4.0106987632,3.8355736655,3.5685998661,3.2915477349,3.5255842701,4.0690583799,4.1412368138,4.4348214523,4.3826688837,4.6829123953,4.4108898936,4.5584996117,4.6002906987,4.5694707849,4.4621279422,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6030030702,0.7599835033,0.8241553632,1.0599774597,0.8090464189,1.0323029754,1.0816921244,0.9758036294,1.1289186041,1.1611676837,1.003201493,1.1361383071,1.214751524,1.4600304771,1.4811779618,1.7265701712,1.9115376416,1.5094118779,1.4656218949,1.7100707648,1.9760600738,1.8997117341,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
